제조사/유통사,제품수,대표인증구분
이마트,1163,친환경인증농산물
올가홀푸드,624,친환경인증농산물
두레생협,522,친환경인증농산물
농협하나로유통,424,친환경인증농산물
(주)엘지생활건강,159,환경표지
롯데마트,114,친환경인증농산물
애경산업(주),55,환경표지
(주)정식품,54,환경성적
홈플러스,52,친환경인증농산물
(주)매일유업,49,친환경인증농산물
유가원,48,친환경인증농산물
제주특별자치도개발공사,36,환경성적
(주)신세계까사,35,환경표지
유한킴벌리(주),34,환경표지
라토영농조합법인,34,친환경인증농산물
삼양식품(주),33,저탄소제품
라이온코리아(주),33,환경표지
(주)메리스랩,31,환경표지
(주)유한양행,22,환경표지
롯데칠성음료(주),22,저탄소제품
(주)슈가에코,19,환경표지
(주)쌍용씨앤비,15,환경표지
헨켈홈케어코리아(유),15,환경표지
(주)무궁화,15,환경표지
씨제이제일제당(주),14,환경성적
아이배냇(주),14,친환경인증농산물
광동제약(주),13,환경성적
(주)에코띠끄코리아,11,환경표지
(유)강청,10,환경표지
(주)에코매스,9,환경표지
부림제지(주),9,환경표지
(주)생활공작소,9,환경표지
(사)한국지체장애인협회(춘천시장애인근로사업장),9,환경표지
베베스트(주),9,친환경인증농산물
(주)피죤,9,환경표지
서울우유협동조합 양주신공장,8,저탄소축산물
크리미오,8,환경표지
스파클(주),8,저탄소제품
(주)삼양사,8,저탄소제품
(주)빙그레,8,환경성적
한국청정음료(주),7,환경성적
(주)흥국에프엔비,7,환경성적
(주)진케미칼,7,환경표지
(주)비락,7,친환경인증농산물
(주)불스원,7,환경표지
풀무원샘물(주),7,저탄소제품
(주)사옹원,6,환경성적
(주)클레마랑,6,환경표지
(주)화인바이오,6,환경성적
(주)에코씨,6,환경표지
광동제약㈜,6,환경성적
영오산업(주),6,환경표지
코카콜라음료 주식회사,6,환경성적
삼정펄프(주),6,환경표지
해태에이치티비(주),5,환경성적
(주)퍼펙트코리아,5,환경표지
(주)제이앤이,5,환경성적
풀무원식품(주),5,친환경인증농산물
(주)모나리자,5,환경표지
(주)대왕,5,환경표지
주식회사 자임에프앤비,4,친환경인증농산물
주식회사 우리에프엔비,4,환경성적
고려케미칼,4,환경표지
(주)푸른들,4,환경표지
(주)한국생활건강,4,친환경인증농산물
불스원,4,환경표지
농업회사법인 쌍계명차(주),4,친환경인증농산물
(주)에버미라클,4,환경표지
샘표식품 주식회사,4,친환경인증농산물
미찌푸드주식회사,4,환경성적
(주) 쟈뎅,4,환경성적
(주)노루페인트,4,환경표지
(주)베베쿡,4,친환경인증농산물
